ID, Time, Condition, ROI_Average, P7, TP7, CP5
1,-28.056112,1,-0.964958,-0.391172,-0.087922,-2.415779
1,-26.052104,1,-0.667477,-0.238937,0.230948,-1.994443
1,-24.048096,1,-0.398559,-0.090318,0.509617,-1.614974
1,-22.044088,1,-0.161608,0.049638,0.723403,-1.257866
1,-20.040080,1,0.066985,0.220093,0.848672,-0.867811
1,-18.036072,1,0.255678,0.413952,0.876619,-0.523537
1,-16.032064,1,0.338322,0.547441,0.788730,-0.321205
1,-14.028056,1,0.307848,0.568771,0.583399,-0.228626
1,-12.024048,1,0.200571,0.503750,0.296040,-0.198076
1,-10.020040,1,0.047546,0.394907,-0.018965,-0.233303
1,-8.016032,1,-0.117158,0.284598,-0.301550,-0.334524
1,-6.012024,1,-0.235151,0.231277,-0.494380,-0.442351
1,-4.008016,1,-0.291189,0.215317,-0.584840,-0.504042
1,-2.004008,1,-0.296393,0.183880,-0.590529,-0.482529
1,0.000000,1,-0.235608,0.158046,-0.516614,-0.348256
1,2.004008,1,-0.106415,0.185816,-0.366056,-0.139005
1,4.008016,1,0.055719,0.266876,-0.170388,0.070668
1,6.012024,1,0.202165,0.350590,0.025185,0.230720
1,8.016032,1,0.336937,0.417308,0.229073,0.364430
1,10.020040,1,0.516500,0.517247,0.488523,0.543729
1,12.024048,1,0.749449,0.683899,0.790347,0.774101
1,14.028056,1,0.964214,0.887419,1.041335,0.963889
1,16.032064,1,1.133212,1.113117,1.172283,1.114236
1,18.036072,1,1.259567,1.324991,1.183124,1.270587
1,20.040080,1,1.294785,1.432220,1.106286,1.345848
1,22.044088,1,1.233485,1.403153,0.981234,1.316068
1,24.048096,1,1.180454,1.329380,0.863954,1.348028
1,26.052104,1,1.221645,1.304908,0.808552,1.551476
1,28.056112,1,1.347270,1.332634,0.841818,1.867359
1,30.060120,1,1.491482,1.357492,0.956089,2.160864
1,32.064128,1,1.573724,1.317410,1.092373,2.311388
1,34.068136,1,1.590953,1.222197,1.220871,2.329790
1,36.072144,1,1.588355,1.106645,1.386749,2.271671
1,38.076152,1,1.581168,0.972805,1.633533,2.137165
1,40.080160,1,1.592183,0.854092,1.943165,1.979294
1,42.084168,1,1.656885,0.816913,2.237761,1.915981
1,44.088176,1,1.756463,0.879134,2.441466,1.948789
1,46.092184,1,1.803850,0.959087,2.531102,1.921360
1,48.096192,1,1.736985,0.963657,2.512288,1.735010
1,50.100200,1,1.611077,0.921963,2.426455,1.484812
1,52.104208,1,1.482351,0.872086,2.334511,1.240456
1,54.108216,1,1.332095,0.792775,2.250845,0.952664
1,56.112224,1,1.173472,0.711676,2.167036,0.641705
1,58.116232,1,1.041957,0.658672,2.112077,0.355121
1,60.120240,1,0.957020,0.636866,2.141714,0.092481
1,62.124248,1,0.948565,0.687356,2.262776,-0.104436
1,64.128257,1,1.029969,0.841974,2.424432,-0.176500
1,66.132265,1,1.140772,1.034292,2.565065,-0.177042
1,68.136273,1,1.209359,1.174289,2.654932,-0.201143
1,70.140281,1,1.261707,1.274373,2.718200,-0.207453
1,72.144289,1,1.369496,1.405509,2.797903,-0.094924
1,74.148297,1,1.563091,1.599037,2.919984,0.170252
1,76.152305,1,1.835837,1.851921,3.077652,0.577937
1,78.156313,1,2.149018,2.149480,3.239946,1.057626
1,80.160321,1,2.419672,2.430691,3.373739,1.454586
1,82.164329,1,2.568168,2.628615,3.448380,1.627510
1,84.168337,1,2.552285,2.713626,3.433182,1.510045
1,86.172345,1,2.398103,2.699098,3.343380,1.151831
1,88.176353,1,2.239802,2.695357,3.254108,0.769941
1,90.180361,1,2.214994,2.842941,3.225519,0.576523
1,92.184369,1,2.320598,3.136192,3.253731,0.571872
1,94.188377,1,2.461341,3.457949,3.300891,0.625182
1,96.192385,1,2.548881,3.722069,3.316336,0.608237
1,98.196393,1,2.577921,3.933951,3.274086,0.525726
1,100.200401,1,2.609236,4.133243,3.198483,0.495981
1,102.204409,1,2.685818,4.340391,3.110072,0.606992
1,104.208417,1,2.782652,4.526268,3.004263,0.817424
1,106.212425,1,2.857717,4.655769,2.902437,1.014944
1,108.216433,1,2.915543,4.754959,2.836312,1.155358
1,110.220441,1,2.980401,4.852549,2.821760,1.266894
1,112.224449,1,3.067606,4.945597,2.849505,1.407716
1,114.228457,1,3.150402,5.000587,2.862377,1.588243
1,116.232465,1,3.163537,4.968112,2.802034,1.720464
1,118.236473,1,3.107499,4.850840,2.699197,1.772460
1,120.240481,1,3.044523,4.692528,2.620390,1.820653
1,122.244489,1,3.002758,4.524490,2.574015,1.909767
1,124.248497,1,3.006013,4.389127,2.568641,2.060271
1,126.252505,1,3.072002,4.318215,2.630748,2.267045
1,128.256513,1,3.136103,4.273473,2.730213,2.404624
1,130.260521,1,3.104443,4.185317,2.794448,2.333564
1,132.264529,1,2.986046,4.050292,2.793885,2.113962
1,134.268537,1,2.855173,3.904919,2.748267,1.912331
1,136.272545,1,2.735067,3.762860,2.681687,1.760655
1,138.276553,1,2.592006,3.606681,2.597598,1.571739
1,140.280561,1,2.435916,3.448960,2.514409,1.344379
1,142.284569,1,2.313744,3.331323,2.472032,1.137878
1,144.288577,1,2.223768,3.255425,2.450015,0.965864
1,146.292585,1,2.110937,3.172707,2.366802,0.793300
1,148.296593,1,1.952850,3.059202,2.203700,0.595647
1,150.300601,1,1.778433,2.932521,2.027682,0.375097
1,152.304609,1,1.614956,2.812209,1.896881,0.135778
1,154.308617,1,1.474800,2.714558,1.814377,-0.104534
1,156.312625,1,1.400519,2.679633,1.778531,-0.256607
1,158.316633,1,1.448115,2.746740,1.815475,-0.217872
1,160.320641,1,1.609744,2.898291,1.939846,-0.008904
1,162.324649,1,1.828141,3.085252,2.117064,0.282106
1,164.328657,1,2.001177,3.216895,2.273223,0.513413
1,166.332665,1,2.040001,3.207463,2.368754,0.543786
1,168.336673,1,1.997903,3.109815,2.431822,0.452073
1,170.340681,1,1.969621,3.014379,2.482586,0.411897
1,172.344689,1,1.956675,2.926633,2.500892,0.442501
1,174.348697,1,1.923002,2.835192,2.446657,0.487156
