ID, Time, Condition, ROI_Average, P8, TP8, CP6
1,-28.056112,1,-0.256211,1.871501,-1.574152,-1.065982
1,-26.052104,1,-0.224040,1.996855,-1.687510,-0.981467
1,-24.048096,1,-0.241181,2.076961,-1.782980,-1.017524
1,-22.044088,1,-0.305993,2.150450,-1.897669,-1.170759
1,-20.040080,1,-0.360094,2.257497,-1.967109,-1.370669
1,-18.036072,1,-0.333656,2.389167,-1.871028,-1.519105
1,-16.032064,1,-0.209388,2.555350,-1.625670,-1.557843
1,-14.028056,1,-0.037371,2.770756,-1.346633,-1.536236
1,-12.024048,1,0.131388,3.005243,-1.079385,-1.531694
1,-10.020040,1,0.266376,3.185027,-0.814849,-1.571049
1,-8.016032,1,0.319105,3.211057,-0.591829,-1.661912
1,-6.012024,1,0.254484,3.019427,-0.461641,-1.794334
1,-4.008016,1,0.101183,2.680413,-0.444759,-1.932103
1,-2.004008,1,-0.094563,2.287312,-0.529637,-2.041365
1,0.000000,1,-0.334393,1.805673,-0.684876,-2.123978
1,2.004008,1,-0.633527,1.210754,-0.878265,-2.233070
1,4.008016,1,-0.954637,0.630785,-1.085274,-2.409423
1,6.012024,1,-1.230141,0.217331,-1.279347,-2.628408
1,8.016032,1,-1.438700,-0.033976,-1.433400,-2.848724
1,10.020040,1,-1.649752,-0.258862,-1.611043,-3.079352
1,12.024048,1,-1.917777,-0.547891,-1.859827,-3.345614
1,14.028056,1,-2.154749,-0.817861,-2.073303,-3.573083
1,16.032064,1,-2.249824,-0.959302,-2.151915,-3.638255
1,18.036072,1,-2.202662,-0.932366,-2.140207,-3.535413
1,20.040080,1,-2.063021,-0.712108,-2.115418,-3.361536
1,22.044088,1,-1.846084,-0.311761,-2.056432,-3.170060
1,24.048096,1,-1.545441,0.142961,-1.844753,-2.934530
1,26.052104,1,-1.197103,0.495379,-1.439618,-2.647070
1,28.056112,1,-0.869231,0.703255,-0.944875,-2.366071
1,30.060120,1,-0.624545,0.779329,-0.473824,-2.179141
1,32.064128,1,-0.484579,0.766153,-0.085158,-2.134734
1,34.068136,1,-0.422829,0.715502,0.221175,-2.205162
1,36.072144,1,-0.401137,0.640333,0.485198,-2.328942
1,38.076152,1,-0.417227,0.510388,0.695121,-2.457191
1,40.080160,1,-0.517097,0.251226,0.756144,-2.558660
1,42.084168,1,-0.702780,-0.145702,0.648125,-2.610763
1,44.088176,1,-0.907759,-0.567844,0.451739,-2.607173
1,46.092184,1,-1.068244,-0.876219,0.245209,-2.573721
1,48.096192,1,-1.126396,-0.967714,0.096508,-2.507982
1,50.100200,1,-1.091391,-0.889078,-0.006025,-2.379069
1,52.104208,1,-1.029059,-0.740342,-0.143021,-2.203815
1,54.108216,1,-0.955853,-0.529954,-0.308051,-2.029555
1,56.112224,1,-0.837414,-0.246991,-0.405161,-1.860091
1,58.116232,1,-0.663243,0.112587,-0.424435,-1.677880
1,60.120240,1,-0.480699,0.539088,-0.455360,-1.525826
1,62.124248,1,-0.323356,0.991986,-0.521311,-1.440743
1,64.128257,1,-0.192277,1.390921,-0.577049,-1.390703
1,66.132265,1,-0.107320,1.649075,-0.628356,-1.342678
1,68.136273,1,-0.071783,1.752993,-0.685233,-1.283109
1,70.140281,1,-0.067505,1.736658,-0.716616,-1.222556
1,72.144289,1,-0.111841,1.624445,-0.729193,-1.230776
1,74.148297,1,-0.241526,1.430338,-0.774511,-1.380405
1,76.152305,1,-0.423763,1.197746,-0.827513,-1.641521
1,78.156313,1,-0.574441,1.007711,-0.827317,-1.903719
1,80.160321,1,-0.685839,0.919524,-0.847716,-2.129327
1,82.164329,1,-0.788677,0.944219,-0.939148,-2.371101
1,84.168337,1,-0.867735,1.088601,-1.031915,-2.659891
1,86.172345,1,-0.938876,1.313286,-1.136381,-2.993532
1,88.176353,1,-1.037832,1.521452,-1.297025,-3.337922
1,90.180361,1,-1.138663,1.673205,-1.440985,-3.648210
1,92.184369,1,-1.217011,1.794861,-1.526277,-3.919616
1,94.188377,1,-1.280371,1.892012,-1.600774,-4.132352
1,96.192385,1,-1.309872,1.979245,-1.662496,-4.246366
1,98.196393,1,-1.324160,2.036237,-1.689826,-4.318891
1,100.200401,1,-1.388118,2.020766,-1.743578,-4.441541
1,102.204409,1,-1.493854,1.972846,-1.867195,-4.587212
1,104.208417,1,-1.603496,1.952437,-2.070203,-4.692721
1,106.212425,1,-1.709749,1.929217,-2.309798,-4.748668
1,108.216433,1,-1.789655,1.867447,-2.467718,-4.768694
1,110.220441,1,-1.844374,1.794723,-2.523973,-4.803872
1,112.224449,1,-1.914326,1.752019,-2.602781,-4.892216
1,114.228457,1,-2.023816,1.771425,-2.820781,-5.022092
1,116.232465,1,-2.146897,1.866584,-3.144137,-5.163140
1,118.236473,1,-2.243218,2.002718,-3.430974,-5.301397
1,120.240481,1,-2.299635,2.145487,-3.604910,-5.439483
1,122.244489,1,-2.298879,2.307223,-3.648499,-5.555361
1,124.248497,1,-2.223822,2.464048,-3.530098,-5.605416
1,126.252505,1,-2.118430,2.544350,-3.313682,-5.585959
1,128.256513,1,-2.050219,2.543479,-3.161190,-5.532945
1,130.260521,1,-2.057037,2.514842,-3.193186,-5.492768
1,132.264529,1,-2.155678,2.448624,-3.399829,-5.515828
1,134.268537,1,-2.322816,2.309247,-3.650211,-5.627484
1,136.272545,1,-2.496758,2.121388,-3.815692,-5.795971
1,138.276553,1,-2.638427,1.962998,-3.909407,-5.968872
1,140.280561,1,-2.770577,1.827355,-4.014541,-6.124546
1,142.284569,1,-2.927326,1.625175,-4.131954,-6.275199
1,144.288577,1,-3.088935,1.366209,-4.212920,-6.420095
1,146.292585,1,-3.218548,1.177222,-4.303084,-6.529782
1,148.296593,1,-3.313548,1.120312,-4.474432,-6.586525
1,150.300601,1,-3.365216,1.182922,-4.685626,-6.592944
1,152.304609,1,-3.359594,1.324113,-4.850541,-6.552352
1,154.308617,1,-3.331026,1.461953,-4.961829,-6.493202
1,156.312625,1,-3.299263,1.515242,-5.006116,-6.406914
1,158.316633,1,-3.263288,1.392968,-4.943545,-6.239286
1,160.320641,1,-3.248098,1.072902,-4.818859,-5.998335
1,162.324649,1,-3.244670,0.689279,-4.695752,-5.727537
1,164.328657,1,-3.224029,0.410479,-4.604845,-5.477721
1,166.332665,1,-3.195062,0.256201,-4.552160,-5.289225
1,168.336673,1,-3.164519,0.120043,-4.474466,-5.139133
1,170.340681,1,-3.095687,-0.008266,-4.306470,-4.972325
1,172.344689,1,-2.975012,-0.060355,-4.093145,-4.771535
1,174.348697,1,-2.846664,-0.046045,-3.946367,-4.547581
1,176.352705,1,-2.767779,-0.002874,-3.965236,-4.335228
1,178.356713,1,-2.759470,0.031015,-4.145123,-4.164300
1,180.360721,1,-2.799408,0.034740,-4.403205,-4.029760
1,182.364729,1,-2.897414,0.033498,-4.760006,-3.965734
1,184.368737,1,-3.039020,0.093343,-5.213578,-3.996825
1,186.372745,1,-3.116327,0.257816,-5.588400,-4.018396
1,188.376754,1,-3.072389,0.492744,-5.765302,-3.944608
1,190.380762,1,-2.937913,0.779372,-5.789990,-3.803121
1,192.384770,1,-2.730882,1.129820,-5.705309,-3.617155
1,194.388778,1,-2.450139,1.529312,-5.476971,-3.402758
1,196.392786,1,-2.122726,1.969579,-5.124830,-3.212928
1,198.396794,1,-1.802556,2.436932,-4.757291,-3.087310
1,200.400802,1,-1.511319,2.881781,-4.434339,-2.981399
1,202.404810,1,-1.235102,3.253804,-4.139955,-2.819156
1,204.408818,1,-0.975689,3.516636,-3.837730,-2.605972
1,206.412826,1,-0.767801,3.636577,-3.519853,-2.420126
1,208.416834,1,-0.645833,3.609752,-3.220507,-2.326746
1,210.420842,1,-0.595878,3.500090,-2.981861,-2.305863
1,212.424850,1,-0.563339,3.416722,-2.828518,-2.278221
1,214.428858,1,-0.519524,3.361513,-2.720699,-2.199387
1,216.432866,1,-0.475350,3.266828,-2.607075,-2.085804
1,218.436874,1,-0.433274,3.158455,-2.492425,-1.965851
1,220.440882,1,-0.366069,3.086696,-2.344356,-1.840546
1,222.444890,1,-0.255172,3.092121,-2.146311,-1.711326
1,224.448898,1,-0.127028,3.236353,-2.015094,-1.602344
1,226.452906,1,-0.059175,3.453837,-2.080253,-1.551110
1,228.456914,1,-0.104772,3.587979,-2.334142,-1.568153
1,230.460922,1,-0.228032,3.586217,-2.657563,-1.612750
1,232.464930,1,-0.380864,3.522878,-2.969872,-1.695597
1,234.468938,1,-0.551484,3.507067,-3.275127,-1.886393
1,236.472946,1,-0.711028,3.572924,-3.560278,-2.145730
1,238.476954,1,-0.818600,3.680668,-3.790652,-2.345818
1,240.480962,1,-0.893750,3.768751,-3.982664,-2.467338
1,242.484970,1,-0.979494,3.762665,-4.137201,-2.563946
1,244.488978,1,-1.066671,3.655107,-4.240047,-2.615073
1,246.492986,1,-1.140969,3.486620,-4.312671,-2.596855
1,248.496994,1,-1.203728,3.307695,-4.360006,-2.558873
1,250.501002,1,-1.229414,3.194498,-4.350812,-2.531928
1,252.505010,1,-1.169230,3.190734,-4.226541,-2.471882
1,254.509018,1,-1.002677,3.292127,-3.970918,-2.329240
1,256.513026,1,-0.776404,3.473162,-3.664761,-2.137614
1,258.517034,1,-0.551131,3.712832,-3.407767,-1.958456
1,260.521042,1,-0.326670,4.011346,-3.202369,-1.788986
1,262.525050,1,-0.085513,4.357050,-2.992812,-1.620778
1,264.529058,1,0.131659,4.733567,-2.816565,-1.522027
1,266.533066,1,0.268285,5.126911,-2.746003,-1.576052
1,268.537074,1,0.326408,5.477799,-2.771889,-1.726687
1,270.541082,1,0.360868,5.751687,-2.829684,-1.839398
1,272.545090,1,0.433108,5.992008,-2.826709,-1.865973
1,274.549098,1,0.564710,6.233168,-2.715867,-1.823171
1,276.553106,1,0.735607,6.501476,-2.549437,-1.745219
1,278.557114,1,0.898807,6.802412,-2.429797,-1.676194
1,280.561122,1,1.063892,7.152966,-2.369798,-1.591493
1,282.565130,1,1.305680,7.610992,-2.265167,-1.428787
1,284.569138,1,1.599335,8.151799,-2.107563,-1.246230
1,286.573146,1,1.823605,8.646330,-1.978908,-1.196608
1,288.577154,1,1.959412,9.019979,-1.854542,-1.287201
1,290.581162,1,2.065971,9.293810,-1.723005,-1.372892
1,292.585170,1,2.158489,9.500400,-1.665949,-1.358985
1,294.589178,1,2.262157,9.712585,-1.687881,-1.238235
1,296.593186,1,2.390370,9.971132,-1.733574,-1.066448
1,298.597194,1,2.473960,10.185551,-1.792099,-0.971573
1,300.601202,1,2.472818,10.281344,-1.818132,-1.044757
1,302.605210,1,2.446301,10.317086,-1.725578,-1.252605
1,304.609218,1,2.455705,10.421260,-1.565462,-1.488684
1,306.613226,1,2.511803,10.647910,-1.464262,-1.648239
1,308.617234,1,2.671146,10.997449,-1.340331,-1.643681
1,310.621242,1,2.995822,11.483496,-1.037615,-1.458416
1,312.625251,1,3.378477,12.021915,-0.678767,-1.207719
1,314.629259,1,3.654596,12.477303,-0.491806,-1.021709
1,316.633267,1,3.793096,12.802157,-0.512432,-0.910437
1,318.637275,1,3.855731,13.030059,-0.648159,-0.814708
1,320.641283,1,3.878889,13.195625,-0.828805,-0.730154
1,322.645291,1,3.856258,13.309274,-1.047567,-0.692933
1,324.649299,1,3.801900,13.404089,-1.297710,-0.700678
1,326.653307,1,3.774519,13.531595,-1.500916,-0.707122
1,328.657315,1,3.828236,13.711934,-1.562811,-0.664416
1,330.661323,1,3.900970,13.873237,-1.549017,-0.621311
1,332.665331,1,3.852587,13.906246,-1.664794,-0.683693
1,334.669339,1,3.676233,13.800744,-1.922688,-0.849358
1,336.673347,1,3.518482,13.645284,-2.060614,-1.029224
1,338.677355,1,3.493210,13.512624,-1.898619,-1.134375
1,340.681363,1,3.596355,13.412050,-1.534145,-1.088841
1,342.685371,1,3.743320,13.313158,-1.187929,-0.895269
1,344.689379,1,3.846740,13.198645,-1.021719,-0.636705
1,346.693387,1,3.883882,13.090351,-1.053730,-0.384976
1,348.697395,1,3.836865,12.952902,-1.234342,-0.207965
1,350.701403,1,3.693913,12.747594,-1.498334,-0.167520
1,352.705411,1,3.530118,12.540107,-1.738274,-0.211480
1,354.709419,1,3.378383,12.376102,-1.970527,-0.270426
1,356.713427,1,3.158436,12.181407,-2.330531,-0.375570
1,358.717435,1,2.835030,11.863924,-2.837998,-0.520836
1,360.721443,1,2.446014,11.422397,-3.413210,-0.671145
1,362.725451,1,2.039911,10.891234,-3.942607,-0.828894
1,364.729459,1,1.679393,10.318968,-4.303313,-0.977475
1,366.733467,1,1.403171,9.787538,-4.468060,-1.109966
1,368.737475,1,1.195145,9.358099,-4.533436,-1.239227
1,370.741483,1,1.004470,9.051653,-4.645683,-1.392558
1,372.745491,1,0.767141,8.838876,-4.922017,-1.615436
1,374.749499,1,0.469766,8.650466,-5.313985,-1.927183
1,376.753507,1,0.164271,8.448442,-5.664344,-2.291285
1,378.757515,1,-0.144547,8.198936,-5.967485,-2.665091
1,380.761523,1,-0.494906,7.876068,-6.299783,-3.061004
1,382.765531,1,-0.842171,7.519469,-6.603012,-3.442972
1,384.769539,1,-1.083112,7.187037,-6.759336,-3.677035
1,386.773547,1,-1.207264,6.883535,-6.773334,-3.731992
1,388.777555,1,-1.292440,6.574441,-6.735616,-3.716144
1,390.781563,1,-1.380860,6.251714,-6.707538,-3.686757
1,392.785571,1,-1.500971,5.908241,-6.742155,-3.668998
1,394.789579,1,-1.645578,5.577200,-6.826850,-3.687086
1,396.793587,1,-1.741278,5.376681,-6.901842,-3.698673
1,398.797595,1,-1.765903,5.365488,-6.974376,-3.688821
1,400.801603,1,-1.756603,5.456838,-7.054977,-3.671672
1,402.805611,1,-1.760571,5.526229,-7.184826,-3.623117
1,404.809619,1,-1.843973,5.511676,-7.466336,-3.577259
1,406.813627,1,-1.986499,5.475121,-7.856085,-3.578532
1,408.817635,1,-2.039242,5.541317,-8.139684,-3.519358
1,410.821643,1,-1.920273,5.727235,-8.204842,-3.283211
1,412.825651,1,-1.727125,5.924181,-8.149134,-2.956423
1,414.829659,1,-1.600190,6.030346,-8.103573,-2.727344
1,416.833667,1,-1.562681,6.074013,-8.121691,-2.640367
1,418.837675,1,-1.499281,6.152407,-8.155285,-2.494965
1,420.841683,1,-1.312532,6.312176,-8.121298,-2.128474
1,422.845691,1,-1.039826,6.515574,-7.994026,-1.641026
1,424.849699,1,-0.781018,6.683082,-7.823607,-1.202529
1,426.853707,1,-0.608313,6.762081,-7.700106,-0.886914
1,428.857715,1,-0.560502,6.723666,-7.681327,-0.723846
1,430.861723,1,-0.641880,6.555637,-7.790140,-0.691135
1,432.865731,1,-0.776753,6.313271,-8.002031,-0.641500
1,434.869739,1,-0.800662,6.118931,-8.119255,-0.401661
1,436.873747,1,-0.588977,6.108874,-7.934418,0.058612
1,438.877756,1,-0.192270,6.288330,-7.498112,0.632973
1,440.881764,1,0.223263,6.542896,-7.039813,1.166707
1,442.885772,1,0.478790,6.774185,-6.807087,1.469273
1,444.889780,1,0.467718,6.895509,-6.928351,1.435997
1,446.893788,1,0.238122,6.851497,-7.305879,1.168747
1,448.897796,1,-0.078755,6.697061,-7.774384,0.841059
1,450.901804,1,-0.417306,6.467337,-8.267529,0.548275
1,452.905812,1,-0.754127,6.147776,-8.710271,0.300113
1,454.909820,1,-1.027754,5.789642,-8.958624,0.085718
1,456.913828,1,-1.230605,5.451385,-9.018056,-0.125143
1,458.917836,1,-1.438958,5.163433,-9.064308,-0.415999
1,460.921844,1,-1.694021,4.944274,-9.208827,-0.817511
1,462.925852,1,-1.932734,4.791019,-9.379822,-1.209401
1,464.929860,1,-2.080011,4.691886,-9.474424,-1.457495
1,466.933868,1,-2.129781,4.606740,-9.458558,-1.537525
1,468.937876,1,-2.100184,4.490435,-9.309384,-1.481603
1,470.941884,1,-2.015577,4.360451,-9.073300,-1.333882
1,472.945892,1,-1.891475,4.254864,-8.816223,-1.113065
1,474.949900,1,-1.718709,4.193389,-8.541418,-0.808099
1,476.953908,1,-1.506468,4.225599,-8.287984,-0.457021
1,478.957916,1,-1.300847,4.360760,-8.118165,-0.145138
1,480.961924,1,-1.151313,4.494634,-8.022878,0.074304
1,482.965932,1,-1.059792,4.571573,-7.971258,0.220309
1,484.969940,1,-1.000161,4.589894,-7.937262,0.346884
1,486.973948,1,-0.950316,4.520084,-7.848574,0.477544
1,488.977956,1,-0.889631,4.425251,-7.686818,0.592673
1,490.981964,1,-0.842651,4.367970,-7.550501,0.654577
1,492.985972,1,-0.875758,4.292146,-7.547376,0.627955
1,494.989980,1,-1.005325,4.166949,-7.696125,0.513201
1,496.993988,1,-1.172980,4.040939,-7.928494,0.368615
1,498.997996,1,-1.332694,3.943676,-8.186307,0.244549
1,501.002004,1,-1.512638,3.801207,-8.440979,0.101858
1,503.006012,1,-1.745415,3.549448,-8.668403,-0.117291
1,505.010020,1,-1.963888,3.286600,-8.833783,-0.344481
1,507.014028,1,-2.066091,3.159137,-8.886879,-0.470529
1,509.018036,1,-2.067251,3.186337,-8.849051,-0.539038
1,511.022044,1,-2.037920,3.253555,-8.764191,-0.603123
1,513.026052,1,-2.008472,3.261480,-8.680800,-0.606095
1,515.030060,1,-2.013268,3.177699,-8.686130,-0.531372
1,517.034068,1,-2.080176,2.999715,-8.809691,-0.430552
1,519.038076,1,-2.189942,2.745269,-8.993598,-0.321496
1,521.042084,1,-2.278781,2.461022,-9.140792,-0.156573
1,523.046092,1,-2.290616,2.256514,-9.230104,0.101742
1,525.050100,1,-2.232668,2.219626,-9.337955,0.420324
1,527.054108,1,-2.095986,2.347676,-9.412601,0.776967
1,529.058116,1,-1.855464,2.607368,-9.334042,1.160281
1,531.062124,1,-1.593226,2.881964,-9.151451,1.489807
1,533.066132,1,-1.421380,3.005353,-8.960889,1.691395
1,535.070140,1,-1.359919,2.962449,-8.837629,1.795424
1,537.074148,1,-1.403604,2.835878,-8.881662,1.834971
1,539.078156,1,-1.524885,2.670604,-9.060059,1.814799
1,541.082164,1,-1.632419,2.495723,-9.174134,1.781155
1,543.086172,1,-1.689276,2.316817,-9.138242,1.753598
1,545.090180,1,-1.734061,2.123326,-9.054788,1.729279
1,547.094188,1,-1.825879,1.902397,-9.061366,1.681334
1,549.098196,1,-2.003148,1.632473,-9.166929,1.525012
1,551.102204,1,-2.208719,1.352117,-9.227718,1.249445
1,553.106212,1,-2.394416,1.143980,-9.214180,0.886952
1,555.110220,1,-2.569758,1.000896,-9.214574,0.504403
1,557.114228,1,-2.717363,0.836345,-9.235708,0.247272
1,559.118236,1,-2.786267,0.626676,-9.187257,0.201781
1,561.122244,1,-2.785174,0.374397,-9.032688,0.302769
1,563.126253,1,-2.790237,0.059498,-8.907942,0.477733
1,565.130261,1,-2.790798,-0.308392,-8.857874,0.793872
1,567.134269,1,-2.714540,-0.713998,-8.734944,1.305322
1,569.138277,1,-2.544253,-1.077368,-8.499518,1.944129
1,571.142285,1,-2.351032,-1.364362,-8.286886,2.598152
1,573.146293,1,-2.212278,-1.654600,-8.169830,3.187595
1,575.150301,1,-2.096949,-1.939339,-8.085973,3.734467
1,577.154309,1,-1.990671,-2.180406,-8.051879,4.260271
1,579.158317,1,-1.941825,-2.412043,-8.098945,4.685513
1,581.162325,1,-1.943708,-2.637605,-8.134896,4.941376
1,583.166333,1,-1.986103,-2.822572,-8.149218,5.013482
1,585.170341,1,-2.106156,-2.950103,-8.279446,4.911081
1,587.174349,1,-2.286262,-3.007210,-8.595715,4.744139
1,589.178357,1,-2.438584,-2.948878,-9.037055,4.670180
1,591.182365,1,-2.471479,-2.746578,-9.431075,4.763215
1,593.186373,1,-2.381835,-2.485306,-9.620953,4.960752
1,595.190381,1,-2.306441,-2.350831,-9.675822,5.107331
1,597.194389,1,-2.330966,-2.362443,-9.727927,5.097470
1,599.198397,1,-2.355819,-2.346281,-9.708564,4.987390
1,601.202405,1,-2.269261,-2.184641,-9.526777,4.903636
1,603.206413,1,-2.106268,-1.945907,-9.276699,4.903803
1,605.210421,1,-1.927642,-1.768379,-9.027342,5.012796
